name,type,planned_housing,acres_total,acres_in_ring,share_in_ring,planned_in_ring
Downtown,Downtown,27779,941.8,594.3,0.631,17528
Diridon Station Area Plan,Downtown,12900,261.7,261.7,1.0,12900
Race St Light Rail (West of Sunol),Urban Village,1937,106.5,76.9,0.722,1398
Midtown,Specific Plan Area,800,124.2,124.2,1.0,800
Race St Light Rail (Reed & Graham Site),Urban Village,675,16.7,16.7,1.0,675
W. San Carlos St (East),Urban Village,480,35.7,35.7,1.0,480
The Alameda (East),Urban Village,411,47.2,47.2,1.0,411
W. San Carlos St (Mid),Urban Village,330,31.7,13.5,0.427,141
